Month,Trades,Win_Rate,Net_PnL,Max_DD,Avg_Uncertainty
2022-01,13,53.8%,52.30,0.07%,0.2078
2022-02,31,51.6%,-72.05,0.24%,0.2185
2022-03,32,71.9%,711.10,0.09%,0.2262
2022-04,27,44.4%,-257.41,0.23%,0.2359
2022-05,40,45.0%,-14.39,0.31%,0.2023
2022-06,32,50.0%,-157.99,0.42%,0.1962
2022-07,50,58.0%,-146.73,0.54%,0.2412
2022-08,29,62.1%,176.06,0.22%,0.2037
2022-09,43,39.5%,-249.75,0.44%,0.2019
2022-10,40,55.0%,76.06,0.14%,0.2208
2022-11,19,52.6%,-23.95,0.20%,0.2058
2022-12,33,51.5%,40.32,0.31%,0.2130
2023-01,22,63.6%,59.01,0.14%,0.2235
2023-02,41,48.8%,298.43,0.13%,0.2127
2023-03,41,58.5%,-269.43,0.48%,0.2100
2023-04,37,48.6%,233.89,0.17%,0.2414
2023-05,40,52.5%,-61.64,0.22%,0.2317
2023-06,45,53.3%,225.89,0.10%,0.1988
2023-07,30,40.0%,-137.53,0.24%,0.1930
2023-08,46,50.0%,-101.77,0.24%,0.1947
2023-09,19,47.4%,-92.26,0.12%,0.2061
2023-10,24,58.3%,62.43,0.08%,0.2067
2023-11,30,66.7%,167.29,0.23%,0.2136
2023-12,26,53.8%,-75.25,0.15%,0.2235
2024-01,39,41.0%,124.14,0.45%,0.2123
2024-02,40,37.5%,-316.00,0.42%,0.2449
2024-03,24,62.5%,111.38,0.14%,0.2520
2024-04,28,42.9%,-205.60,0.32%,0.2545
2024-05,34,50.0%,-176.13,0.61%,0.2233
2024-06,34,50.0%,415.80,0.27%,0.2337
2024-07,23,43.5%,-479.31,0.48%,0.2384
2024-08,26,46.2%,-216.73,0.27%,0.1984
2024-09,21,47.6%,-56.56,0.18%,0.1951
2024-10,31,38.7%,-42.90,0.21%,0.2317
2024-11,33,36.4%,-225.19,0.36%,0.1986
2024-12,37,37.8%,-130.90,0.21%,0.2137
2025-01,28,46.4%,-201.90,0.28%,0.2001
2025-02,25,52.0%,365.87,0.13%,0.2182
2025-03,28,32.1%,-343.85,0.41%,0.2262
2025-04,28,57.1%,50.32,0.49%,0.2111
2025-05,45,51.1%,-91.57,0.40%,0.2317
2025-06,29,48.3%,233.87,0.21%,0.2557
2025-07,31,29.0%,-562.67,0.66%,0.2293
2025-08,32,46.9%,-247.12,0.34%,0.2212
2025-09,25,56.0%,-158.12,0.21%,0.2100
2025-10,34,38.2%,-976.57,1.11%,0.2392
2025-11,30,40.0%,-86.75,0.67%,0.2146
2025-12,20,50.0%,64.67,0.26%,0.2055
2026-01,20,35.0%,-329.51,0.80%,0.2364
2026-02,29,44.8%,-456.73,0.37%,0.2100
2026-03,27,51.9%,219.77,0.77%,0.2245
TOTAL,1591,48.71%,-3275.77,5.04%,0.2190
